Record ID#,property_id,Refresh key: property,Floorplan Name,Refresh key: floorplan_name,Related Floorplan,rentable_unit_count,Floorplan - Total Beds,Bed Count Variance,occupied_count,PLR Signed Leases,preleased_count,Signed Leases Variance
882,,The Rise at Northgate,B1,B1,225,42,42,0,24,28,0,28
883,,The Rise at Northgate,B2 Penthouse,B2,228,4,4,0,1,4,0,4
884,,The Rise at Northgate,B3 Penthouse,B3,229,2,2,0,2,2,0,2
885,,The Rise at Northgate,C1 Penthouse,C1,230,3,3,0,3,3,0,3
886,,The Rise at Northgate,D1,D1,231,252,252,0,135,182,0,182
887,,The Rise at Northgate,D2,D2,233,4,4,0,2,4,0,4
888,,The Rise at Northgate,D3,D3,234,40,40,0,22,30,0,30
889,,The Rise at Northgate,E1 Penthouse,E1,236,15,15,0,7,16,0,16
890,,The Rise at Northgate,E2 Penthouse,E2,237,30,30,0,17,32,0,32
891,,The Rise at Northgate,E3 Penthouse,E3,238,5,5,0,4,5,0,5
892,,The Rise at Northgate,F1 Penthouse,F1,239,6,6,0,1,6,0,6
894,,The Rise at Northgate,S1,S1,218,21,21,0,12,16,0,16
895,,Torre,A1,A1,282,3,3,0,3,3,0,3
896,,Torre,A2,A2,283,1,1,0,1,1,0,1
897,,Torre,B1,B1,284,2,2,0,2,2,0,2
898,,Torre,B2,B2,285,10,10,0,10,11,0,11
901,,Torre,B3,B3,288,4,4,0,4,5,0,5
902,,Torre,B4,B4,289,2,2,0,2,2,0,2
906,,Torre,B5 - SHARED,B5 - SHARED,290,44,44,0,39,46,0,46
990,,Torre,B5.2 DELUXE,B5.2 DELUXE,401,12,12,0,10,3,0,3
985,,Torre,B6 DELUXE,B6 DELUXE,400,36,36,0,30,34,0,34
910,,Torre,B7 - SEMI-SHARED,B7 - SEMI-SHARED,297,12,12,0,12,8,0,8
991,,Torre,B8 DELUXE,B8 DELUXE,402,28,28,0,20,18,0,18
914,,Torre,B9 -  SHARED,B9 -  SHARED,301,24,24,0,24,25,0,25
915,,Torre,C1,C1,302,3,3,0,3,3,0,3
916,,Torre,C2 - SEMI-SHARED,C2 - SEMI-SHARED,303,16,16,0,14,10,0,10
917,,Torre,C3,C3,304,21,21,0,21,22,0,22
919,,Torre,D1,D1,306,28,28,0,27,24,0,24
921,,Torre,D2 - SEMI-SHARED,D2 - SEMI-SHARED,308,5,5,0,5,4,0,4
922,,Torre,D3 - SEMI-SHARED,D3 - SEMI-SHARED,309,12,12,0,6,10,0,10
923,,Torre,D4 - SEMI-SHARED,D4 - SEMI-SHARED,310,12,12,0,8,7,0,7
1011,,Torre,,Not Selected,,0,,0,0,,0,0
926,,Torre,S1,S1,313,1,1,0,1,1,0,1
927,,Torre,S2,S2,314,14,14,0,14,14,0,14
929,,Torre,TH - C1,TH - C1,316,6,6,0,6,6,0,6
931,,Torre,TH - C2,TH - C2,318,6,6,0,6,7,0,7
932,,Torre,TH - C3,TH - C3,319,3,3,0,3,3,0,3
933,,Torre,TH - C3.1,TH - C3.1,320,3,3,0,3,3,0,3
934,,Torre,TH - C4,TH - C4,321,12,12,0,12,12,0,12
936,,Torre,TH - D1,TH - D1,323,56,56,0,54,61,0,61
938,,Torre,TH - D1.2,TH - D1.2,325,32,32,0,31,34,0,34
939,,Torre,TH - D2,TH - D2,326,8,8,0,8,9,0,9
941,,Torre,TH - D3,TH - D3,328,4,4,0,4,4,0,4
942,,Torre,TH - D4 - SEMI-SHARED,TH - D4 - SEMI-SHARED,329,10,10,0,10,10,0,10
943,,Torre,TH - D5,TH - D5,330,16,16,0,15,17,0,17
944,,Torre,TH - D6 - SEMI-SHARED,TH - D6 - SEMI-SHARED,331,15,15,0,13,12,0,12
946,,Torre,TH - D8 - SEMI-SHARED,TH - D8 - SEMI-SHARED,333,6,6,0,3,6,0,6
947,,Torre,TH - D9,TH - D9,334,15,15,0,14,15,0,15
948,,Torre,TH - E1,TH - E1,335,10,10,0,5,10,0,10
949,,Torre,TH - F1,TH - F1,336,18,18,0,16,19,0,19
950,,Torre,TH - F2,TH - F2,337,6,6,0,6,6,0,6
951,,Torre,TH - F3,TH - F3,338,6,6,0,3,5,0,5
952,,Torre,TH - F4,TH - F4,339,18,18,0,15,16,0,16
953,,Torre,TH - F5,TH - F5,340,18,18,0,17,18,0,18
1014,,Venue at North Campus,A,A,404,6,6,0,5,8,0,8
1015,,Venue at North Campus,B,B,405,96,96,0,82,105,0,105
1016,,Venue at North Campus,D1,D1,406,256,256,0,227,221,0,221
1017,,Venue at North Campus,D2,D2,407,64,64,0,53,64,0,64
1018,,Venue at North Campus,D3,D3,408,192,192,0,175,162,0,162
1019,,Venue at North Campus,E,E,409,120,120,0,111,133,0,133
1020,,Venue at North Campus,,Not Selected,,0,,0,0,,0,0
